conflict,exact_name,operation_names,start_date,first_20_days_window,full_conflict_period,primary_perpetrator,us_role,coalition_members,children_killed_min,children_killed_max,children_injured_min,children_injured_max,data_quality,children_killed_source_min,children_killed_source_max,children_injured_source_min,children_injured_source_max,us_weapons_documented,cluster_munitions_used,key_incident_in_window,ihl_documentation,key_sources
Iraq War (2003-2011),Iraq War / Second Gulf War,"Operation Iraqi Freedom (CENTCOM), Operation TELIC (UK), Operation FALCONER (Australia)",2003-03-20,2003-03-20 to 2003-04-09,2003-03-20 to 2011-12-18,United States / United Kingdom,Direct perpetrator,"US (~148k troops), UK (~45k), Australia (~2k), Poland (~194); 49-country 'Coalition of the Willing'",100,200,300,800,LOW — derived estimates,"IBC ~6616 invasion-phase deaths, ~5% child proportion (Hicks et al. 2011), scaled to 20/42 days",Same methodology upper range,3:1-4:1 wounded-to-killed ratio inference,Same ratio upper range,"Mk-80 series bombs, JDAM, cruise missiles, cluster munitions, F-15E, F-16, B-2, B-1B, B-52, AH-64 Apache","Yes — 10,782 cluster munitions (~1.8M submunitions); HRW 'Off Target' 2003","Shock and Awe: ~1700 sorties + 504 cruise missiles in first 2 days; all 50 decapitation strikes missed targets","US not party to AP I, CRC, Rome Statute, or CCM; Kofi Annan: 'it was illegal'","Iraq Body Count; HRW 'Off Target' (2003); Lancet (Roberts 2004, Burnham 2006); Hicks et al. PLOS Medicine 2011"
Afghanistan (2001-2021),War in Afghanistan / Operation Enduring Freedom,"Operation Enduring Freedom (OEF), Operation Freedom's Sentinel (OFS)",2001-10-07,2001-10-07 to 2001-10-27,2001-10-07 to 2021-08-30,United States,Direct perpetrator,"US (overwhelming majority), UK (cruise missiles opening night), Australia, Canada, France, Germany; Northern Alliance (Afghan ground forces)",120,750,240,2250,LOW — demographic extrapolation,"Demographic extrapolation: 300-500 civilians killed (low est.) x 40-50% child proportion","Demographic extrapolation: 1000-1500 civilians killed (high est.) x 40-50%",2:1-3:1 injury ratio applied to killed estimates,Same ratio upper range,"B-2, B-1B, B-52 bombers, Tomahawk cruise missiles, carrier aircraft, cluster munitions","Yes — 1,228 cluster munitions (248,056 bomblets); HRW 'Fatally Flawed' 2002","Karam village (Oct 11), Kabul (Oct 13), Chowkar-Karez (Oct 21-22)","UNAMA monitoring began 2007 only; Gen. Franks: 'We don't do body counts'","Marc Herold 'Dossier on Civilian Victims'; HRW 'Fatally Flawed' (2002); Costs of War Project"
Libya (2011),2011 Military Intervention in Libya,"Operation Odyssey Dawn (US/AFRICOM), Operation Unified Protector (NATO), Operation Ellamy (UK), Operation Harmattan (France)",2011-03-19,2011-03-19 to 2011-04-08,2011-03-19 to 2011-10-31,NATO coalition (US/France/UK lead),Direct perpetrator (AFRICOM led Odyssey Dawn),"US, France, UK, Canada, Italy, Denmark, Norway, Belgium, Spain, Netherlands, Turkey, Qatar, UAE, Jordan, Sweden",,,,,NONE — total data void,No data exists,No data exists,No data exists,No data exists,"Tomahawk cruise missiles, F-15E, F-16, B-2, AV-8B, precision-guided munitions",Not documented in Libya specifically,First-phase strikes targeted air defenses and military columns (not urban areas),"NATO refused to count/acknowledge civilian casualties; HRW 'Unacknowledged Deaths' (2012)","HRW 'Unacknowledged Deaths' (2012); Amnesty 'Forgotten Victims' (2012); UN Commission of Inquiry A/HRC/19/68"
Syria (2014-2024),US-led Intervention Against ISIS in Syria,Operation Inherent Resolve (OIR) — CENTCOM/CJTF-OIR,2014-09-22,2014-09-22 to 2014-10-12,2014-09 to 2024,US-led coalition,Direct perpetrator,"US (lead), Saudi Arabia, UAE, Jordan, Bahrain, Qatar (first night); France, UK, Australia, Canada, Netherlands, Belgium, Denmark (later); 80+ CJTF-OIR partners",3,14,,,LOW-MEDIUM — incident-level,"SOHR confirmed 3 children killed at Kafr Daryan, first night (Sep 22-23); corroborated by Reuters, BBC, Al Jazeera","Aggregated SNHR/SOHR incident reports across Raqqa, Deir ez-Zor, Idlib, Aleppo",No reliable data exists,No reliable data exists,"F-22, F-15E, F-16, B-1B, Tomahawk cruise missiles, precision-guided munitions",Not documented in this phase,"Kafr Daryan, Idlib — village with no known ISIS presence struck on opening night","CENTCOM claimed ZERO civilian casualties Sep-Oct 2014; contradicted by all independent sources","Airwars; SNHR; SOHR; VDC Syria; UN COI on Syria"
Somalia (2001-present),US Military Operations in Somalia,CENTCOM/CJTF-HOA (pre-2007); AFRICOM (post-Oct 2007); 2001 AUMF authority,2007-01-07,2007-01-07 to 2007-01-27,2007-01 to present,United States,Direct perpetrator,"US (strikes), Ethiopia (ground invasion), Kenya (border ops), Djibouti (basing), UK/France (intelligence)",,,,,NONE — counter-forensic environment,No disaggregated data exists,No disaggregated data exists,No data exists,No data exists,"AC-130 gunship (first strikes), MQ-1/MQ-9 drones (from ~2011), AGM-114 Hellfire",Not documented,Jan 7 2007 AC-130 strike on Ras Kamboni — civilian families among dead; no age breakdown,"AFRICOM claimed zero/near-zero civilian casualties — contradicted by Airwars, Amnesty, TBIJ","TBIJ Somalia database; Airwars; Amnesty 'Hidden US War' (2019); HRW 'So Much to Fear' (2008)"
Pakistan Drones (2004-2018),CIA Covert Drone Program in Pakistan,CIA Title 50 covert action in FATA (Waziristan); 2001 AUMF authority,2004-06-17,2004-06-17 to 2004-07-07,2004-06 to ~2018,United States (CIA),Direct perpetrator,"US CIA (primary); Pakistan ISI/military (targeting intelligence, airfield access, cover story)",0,2,0,,MEDIUM — only 1 strike in window,US/Pakistani government claims of militants only,"TBIJ / Pakistani media: 2 children among 5-8 killed in first strike",No child injury data documented,No data in public record,"MQ-1 Predator drone, AGM-114 Hellfire missile",Not applicable (single precision strike),Jun 17 2004 strike on Wana — target Nek Muhammad killed; 5-8 total dead; Pakistan ISI provided intel and cover story,"UN Special Rapporteur Emmerson (A/68/389); full program: TBIJ estimates 172-207 children killed 2004-2018","TBIJ Pakistan database; Stanford/NYU 'Living Under Drones' (2012); Amnesty 'Will I Be Next?' (2013); The Intercept 'Drone Papers' (2015)"
Israel-Gaza (2023-present),"Operation Swords of Iron (מבצע חרבות ברזל)",Operation Swords of Iron — IDF,2023-10-07,2023-10-07 to 2023-10-27,2023-10-07 to present,Israel (IDF),Primary weapons supplier,"Israel (sole perpetrator); US as weapons supplier; diplomatic support",2800,3500,5500,7500,HIGH — multiple sources converge,"Gaza MoH ~40% child demographic applied to total deaths; conservative floor","Euro-Med Monitor + UNICEF (1000+ missing under rubble); UNICEF: 3195 children in ~3 weeks","MoH injury data with demographic proportioning","Accounting for unreported injuries due to healthcare collapse","MK-84 (2000-lb), MK-82 (500-lb), JDAM (Boeing), GBU-31, GBU-39, 155mm shells, white phosphorus, F-35, F-16",Not documented,"IDF dropped 6000+ bombs in first 6 days; 12000-15000 by Oct 27; DEADLIEST 20-DAY PERIOD FOR CHILDREN IN ANY 21st-CENTURY CONFLICT (UNICEF)","ICJ South Africa v. Israel (Case 192); OHCHR; HRW white phosphorus (Oct 12); Biden admin emergency weapons bypassing Congress","OCHA Flash Updates; UNICEF; Euro-Med Monitor; DCIP; ICJ Case 192; Al Mezan; HRW"
Israel-Lebanon (2006-present),Second Lebanon War / July War (Harb Tammuz),"Operation Just Reward (renamed Change of Direction phases 1-11)",2006-07-12,2006-07-12 to 2006-08-01,2006-07-12 to 2006-08-14 (34 days); 2023-2024 escalation,Israel (IDF),Primary weapons supplier; expedited delivery during active conflict,"Israel (sole perpetrator); US as weapons supplier",150,300,400,1000,MEDIUM — analytical estimates from incident-level data,"Individually documented child fatalities in HRW incident-level reports","1/3 child ratio applied to estimated 700-900 deaths in first 20 days","Proportional estimate from total ~4054 wounded",Upper proportional estimate,"GBU-28 bunker busters (Raytheon — Bush admin expedited delivery), JDAM, CBU-87 cluster bombs, M26 MLRS/M77 submunitions, F-16I, F-15I, AH-64 Apache/Hellfire, M109 howitzers","Yes — ~4 million submunitions dropped on South Lebanon; ~1 million unexploded","Marwaheen convoy (Jul 13, 23+ killed); Qana massacre (Jul 30, 28+ killed incl. 16 children)","UN Commission of Inquiry A/HRC/3/2; UNSCR 1701 ceasefire","HRW 'Why They Died' (2007); HRW 'Fatal Strikes' (2006); HRW 'Flooding South Lebanon' (2008); Amnesty 'Deliberate Destruction' (2006)"
Israel-Iran (2025),No confirmed direct military confrontation,N/A,N/A,N/A,"Last exchanges: Apr & Oct 2024 (True Promise I & II, Days of Repentance)",N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Israel-Iran (2026),No confirmed direct military confrontation,N/A,N/A,N/A,No data through Mar 2026,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
